collect_date,n_sgtf,n_all,perc_sgtf,d
2021-11-29,2,362,0.5524861878453038,1
2021-11-30,1,260,0.38461538461538464,2
2021-12-01,1,179,0.5586592178770949,3
2021-12-06,9,289,3.1141868512110724,8
2021-12-07,16,202,7.920792079207921,9
2021-12-08,28,227,12.334801762114537,10
2021-12-09,31,207,14.975845410628018,11
2021-12-10,58,272,21.323529411764707,12
2021-12-11,33,189,17.46031746031746,13
2021-12-12,17,57,29.82456140350877,14
2021-12-13,128,331,38.670694864048336,15
2021-12-14,152,301,50.498338870431894,16
2021-12-15,168,267,62.92134831460674,17
2021-12-16,199,300,66.33333333333333,18
2021-12-17,251,360,69.72222222222221,19
2021-12-18,252,328,76.82926829268293,20
2021-12-19,143,189,75.66137566137566,21
2021-12-20,590,684,86.25730994152046,22
2021-12-21,228,245,93.06122448979592,23
2021-12-22,35,39,89.74358974358975,24
2021-12-23,259,290,89.3103448275862,25
2021-12-24,325,383,84.85639686684074,26
2021-12-26,10,13,76.92307692307693,28
2021-12-27,59,69,85.5072463768116,29
2021-12-28,2,2,100,30
2021-12-29,131,148,88.51351351351352,31
2021-12-30,94,97,96.90721649484536,32
2021-12-31,327,378,86.5079365079365,33
2022-01-01,55,68,80.88235294117648,34
2022-01-02,253,313,80.83067092651757,35
2022-01-03,16,21,76.19047619047619,36
2022-01-04,319,332,96.08433734939759,37
2022-01-05,151,153,98.69281045751634,38
2022-01-06,78,80,97.5,39
2022-01-07,208,208,100,40
2022-01-08,253,262,96.56488549618321,41
2022-01-09,50,51,98.0392156862745,42
2022-01-10,107,108,99.07407407407408,43
2022-01-11,2,2,100,44
2022-01-12,6,8,75,45
2022-01-13,2,2,100,46
2022-01-14,3,6,50,47
2022-01-15,18,24,75,48
2022-01-16,11,14,78.57142857142857,49
2022-01-17,18,22,81.81818181818183,50
2022-01-18,50,56,89.28571428571429,51
2022-01-19,17,18,94.44444444444444,52
2022-01-20,127,132,96.21212121212122,53
2022-01-21,172,189,91.005291005291,54
2022-01-22,131,138,94.92753623188406,55
2022-01-23,130,137,94.8905109489051,56
2022-01-24,92,95,96.84210526315789,57
2022-01-25,232,254,91.33858267716536,58
2022-01-26,92,98,93.87755102040816,59
2022-01-27,169,175,96.57142857142857,60
2022-01-28,77,80,96.25,61
2022-01-29,49,49,100,62
