collect_date,client_state,client_county,n_all,n_sgtf
2021-12-13,WA,Benton-Franklin,17,1
2021-12-13,WA,King,276,117
2021-12-13,WA,Pierce,1,0
2021-12-13,WA,Snohomish,18,6
2021-12-13,WA,Thurston,1,1
2021-12-13,WA,Walla Walla,5,0
2021-12-13,WA,Yakima,13,3
2021-12-14,WA,Benton-Franklin,9,0
2021-12-14,WA,King,261,148
2021-12-14,WA,Snohomish,12,2
2021-12-14,WA,Thurston,2,2
2021-12-14,WA,Walla Walla,2,0
2021-12-14,WA,Yakima,15,0
2021-12-15,WA,Benton-Franklin,7,0
2021-12-15,WA,King,239,159
2021-12-15,WA,Snohomish,11,3
2021-12-15,WA,Yakima,10,6
2021-12-16,WA,Benton-Franklin,8,0
2021-12-16,WA,King,267,187
2021-12-16,WA,Snohomish,8,6
2021-12-16,WA,Thurston,3,2
2021-12-16,WA,Yakima,14,4
2021-12-17,WA,Benton-Franklin,22,2
2021-12-17,WA,King,319,240
2021-12-17,WA,Pierce,2,1
2021-12-17,WA,Snohomish,8,7
2021-12-17,WA,Thurston,2,1
2021-12-17,WA,Walla Walla,2,0
2021-12-17,WA,Yakima,5,0
2021-12-18,WA,Benton-Franklin,13,6
2021-12-18,WA,King,311,246
2021-12-18,WA,Yakima,4,0
2021-12-19,WA,,1,1
2021-12-19,WA,Benton-Franklin,14,3
2021-12-19,WA,King,171,138
2021-12-19,WA,Yakima,3,1
2021-12-20,WA,Benton-Franklin,6,4
2021-12-20,WA,King,638,555
2021-12-20,WA,Pierce,1,1
2021-12-20,WA,Snohomish,26,20
2021-12-20,WA,Thurston,10,9
2021-12-20,WA,Yakima,3,1
2021-12-21,WA,,1,1
2021-12-21,WA,King,241,224
2021-12-21,WA,Snohomish,3,3
2021-12-22,WA,Benton-Franklin,1,1
2021-12-22,WA,King,32,30
2021-12-22,WA,Yakima,6,4
2021-12-23,WA,Benton-Franklin,4,4
2021-12-23,WA,King,255,226
2021-12-23,WA,Pierce,1,1
2021-12-23,WA,Snohomish,18,18
2021-12-23,WA,Thurston,8,8
2021-12-23,WA,Yakima,4,2
2021-12-24,WA,Benton-Franklin,31,13
2021-12-24,WA,King,333,297
2021-12-24,WA,Thurston,6,4
2021-12-24,WA,Walla Walla,5,4
2021-12-24,WA,Yakima,8,7
2021-12-26,WA,Benton-Franklin,11,8
2021-12-26,WA,King,1,1
2021-12-26,WA,Yakima,1,1
2021-12-27,WA,King,55,51
2021-12-27,WA,Walla Walla,1,1
2021-12-27,WA,Yakima,13,7
2021-12-28,WA,King,2,2
2021-12-29,WA,Benton-Franklin,16,10
2021-12-29,WA,King,120,110
2021-12-29,WA,Yakima,12,11
2021-12-30,WA,King,88,86
2021-12-30,WA,Pierce,3,3
2021-12-30,WA,Yakima,6,5
2021-12-31,WA,Benton-Franklin,37,34
2021-12-31,WA,King,282,244
2021-12-31,WA,Pierce,18,15
2021-12-31,WA,Thurston,6,5
2021-12-31,WA,Yakima,35,29
2022-01-01,OR,Deschutes,3,3
2022-01-01,WA,King,65,52
2022-01-02,WA,Benton-Franklin,141,113
2022-01-02,WA,King,140,115
2022-01-02,WA,Yakima,32,25
2022-01-03,WA,King,20,15
2022-01-03,WA,Walla Walla,1,1
2022-01-04,WA,Benton-Franklin,1,1
2022-01-04,WA,King,283,273
2022-01-04,WA,Snohomish,22,21
2022-01-04,WA,Thurston,3,3
2022-01-04,WA,Yakima,23,21
2022-01-05,WA,King,149,147
2022-01-05,WA,Snohomish,4,4
2022-01-06,WA,King,79,77
2022-01-06,WA,Snohomish,1,1
2022-01-07,WA,Benton-Franklin,34,34
2022-01-07,WA,King,138,138
2022-01-07,WA,Snohomish,12,12
2022-01-07,WA,Thurston,4,4
2022-01-07,WA,Yakima,20,20
2022-01-08,WA,Benton-Franklin,11,11
2022-01-08,WA,King,223,214
2022-01-08,WA,Yakima,28,28
2022-01-09,WA,Benton-Franklin,22,21
2022-01-09,WA,King,13,13
2022-01-09,WA,Yakima,16,16
2022-01-10,WA,King,102,101
2022-01-10,WA,Snohomish,6,6
2022-01-11,OR,Deschutes,2,2
2022-01-12,OR,Deschutes,8,6
2022-01-13,OR,Deschutes,2,2
2022-01-14,OR,Deschutes,6,3
2022-01-15,OR,Deschutes,24,18
2022-01-16,OR,Deschutes,14,11
2022-01-17,OR,Deschutes,22,18
2022-01-18,OR,Deschutes,28,23
2022-01-18,WA,Benton-Franklin,7,7
2022-01-18,WA,King,1,1
2022-01-18,WA,Walla Walla,4,3
2022-01-18,WA,Yakima,16,16
2022-01-19,OR,Deschutes,17,16
2022-01-19,WA,King,1,1
2022-01-20,OR,Deschutes,16,14
2022-01-20,WA,King,116,113
2022-01-21,OR,Deschutes,40,32
2022-01-21,WA,King,145,136
2022-01-21,WA,Thurston,4,4
2022-01-22,OR,Deschutes,6,5
2022-01-22,WA,King,132,126
2022-01-23,WA,Benton-Franklin,87,86
2022-01-23,WA,King,35,30
2022-01-23,WA,Yakima,15,14
2022-01-24,WA,Benton-Franklin,50,49
2022-01-24,WA,King,45,43
2022-01-25,WA,Benton-Franklin,29,29
2022-01-25,WA,King,176,157
2022-01-25,WA,Snohomish,1,1
2022-01-25,WA,Thurston,3,3
2022-01-25,WA,Yakima,45,42
2022-01-26,WA,King,27,26
2022-01-26,WA,Walla Walla,28,26
2022-01-26,WA,Yakima,43,40
2022-01-27,WA,Benton-Franklin,39,38
2022-01-27,WA,King,42,39
2022-01-27,WA,Walla Walla,41,39
2022-01-27,WA,Yakima,53,53
2022-01-28,WA,Benton-Franklin,53,51
2022-01-28,WA,King,18,17
2022-01-28,WA,Yakima,9,9
2022-01-29,WA,Benton-Franklin,28,28
2022-01-29,WA,King,18,18
2022-01-29,WA,Yakima,3,3
NA,NA,NA,109,0
